City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,tobelo,1.7284,128.0095,29.96,68,97,0.7,ID,1701931353
170,saint-pierre,-21.3393,55.4781,28.82,65,100,6.69,RE,1701931354
171,tefe,-3.3542,-64.7114,23.2,98,65,0.6,BR,1701931356
172,tsiombe,-25.3,45.4833,27.96,46,23,8.82,MG,1701931357
173,dongsheng,39.8161,109.9776,6.07,31,0,10.09,CN,1701931358
174,walvis bay,-22.9575,14.5053,15.61,66,4,3.5,NA,1701931359
175,nerchinsk,51.9833,116.5833,-20.54,90,100,2.02,RU,1701931362
176,harstad,68.799,16.5293,-1.03,94,100,8.49,NO,1701931363
177,behbahan,30.5959,50.2417,22.06,29,0,1.1,IR,1701931365
178,nago,26.5881,127.9761,22.24,56,1,4.08,JP,1701931366
179,georgetown,5.4112,100.3354,31.97,66,20,3.6,MY,1701931367
180,ponta delgada,37.7333,-25.6667,18.44,77,75,2.06,PT,1701931164
181,cativa,9.3606,-79.8436,26.77,86,91,4.92,PA,1701931370
182,yuzhno-kurilsk,44.0306,145.8556,7.43,84,100,12.89,RU,1701931371
183,juneau,58.3019,-134.4197,4.0,93,100,7.72,US,1701931373
184,xai-xai,-25.0519,33.6442,25.58,73,100,5.09,MZ,1701931375
185,aron,24.3833,77.4167,23.44,51,19,4.08,IN,1701931378
186,korla,41.7597,86.1469,5.93,33,89,3.13,CN,1701931379
187,weno,7.4515,151.8468,25.97,100,100,3.6,FM,1701931381
188,port blair,11.6667,92.75,30.02,74,40,2.57,IN,1701931382
189,lodwar,3.1191,35.5973,31.89,32,0,5.29,KE,1701931383
190,sur,22.5667,59.5289,25.93,35,0,1.78,OM,1701931385
191,aliwal north,-30.6937,26.7114,17.04,81,100,9.55,ZA,1701931386
192,ola,59.5833,151.2833,-11.03,91,100,8.26,RU,1701931387
193,nha trang,12.25,109.1833,30.0,73,50,5.72,VN,1701931273
194,nadym,65.5333,72.5167,-29.73,93,100,4.25,RU,1701931390
195,polyarnyy,69.1989,33.4478,-14.73,96,32,5.98,RU,1701931391
196,saint-philippe,-21.3585,55.7679,28.77,77,39,4.2,RE,1701931393
197,alvear,-29.0968,-56.5504,20.94,98,100,3.19,AR,1701931394
198,whitehorse,60.7161,-135.0538,-2.57,86,100,7.2,CA,1701931395
199,bushehr,28.9684,50.8385,24.05,46,0,0.0,IR,1701931398
200,villa gesell,-37.2639,-56.973,15.59,90,100,8.8,AR,1701931399
201,vardenis,40.1827,45.7311,4.67,69,69,2.81,AM,1701931401
202,pacific grove,36.6177,-121.9166,13.06,92,40,3.09,US,1701931402
203,port douglas,-16.4833,145.4667,27.22,68,9,5.32,AU,1701931403
204,la passe,45.5549,-0.8967,4.43,73,100,7.25,FR,1701931405
205,thames,-37.1333,175.5333,17.19,73,0,3.89,NZ,1701931406
206,antofagasta,-23.65,-70.4,17.6,83,42,1.93,CL,1701931407
207,dalnerechensk,45.9339,133.7225,-13.3,91,13,2.12,RU,1701931409
208,ma'rib,15.4591,45.3253,20.45,35,13,1.45,YE,1701931410
209,nar'yan-mar,67.6713,53.087,-14.38,96,100,4.47,RU,1701931411
210,port saint john's,-31.6229,29.5448,21.47,82,100,4.91,ZA,1701931413
211,vicosa,-20.7539,-42.8819,18.77,77,46,2.93,BR,1701931414
212,hammerfest,70.6634,23.6821,-5.75,63,41,10.8,NO,1701931193
213,chonchi,-42.6128,-73.8092,7.29,92,8,1.15,CL,1701931417
214,hovd,48.0056,91.6419,-0.87,15,0,9.99,MN,1701931418
215,vila velha,-20.3297,-40.2925,24.97,90,20,2.57,BR,1701931419
216,turmalina,-17.2856,-42.73,17.22,84,2,1.23,BR,1701931420
217,alofi,-19.0595,-169.9187,26.94,83,11,3.09,NU,1701931422
218,gauripur,26.0835,89.9616,23.38,67,98,4.4,IN,1701931423
219,lagoa,39.05,-27.9833,16.95,67,100,8.8,PT,1701931425
220,santa cruz,-17.8,-63.1667,23.7,94,20,2.06,BO,1701931186
221,thunder bay,48.4001,-89.3168,-1.01,86,0,2.57,CA,1701931428
222,talnakh,69.4865,88.3972,-26.0,97,87,3.06,RU,1701931430
223,st. john's,47.5649,-52.7093,-3.95,91,75,1.79,CA,1701931431
224,yreka,41.7354,-122.6345,5.17,95,75,0.0,US,1701931432
225,taoudenni,22.6783,-3.9836,19.14,17,100,3.64,ML,1701931434
226,bay harbor,30.1471,-85.6146,8.97,80,0,3.09,US,1701931435
227,langzhong,31.5504,105.9938,17.0,49,0,2.07,CN,1701931436
228,coquimbo,-29.9533,-71.3436,13.85,94,75,1.54,CL,1701931390
229,torghay,49.6339,63.4981,-10.43,58,47,4.73,KZ,1701931439
230,badger,64.8,-147.5333,-13.07,81,100,2.06,US,1701931440
231,zemetchino,53.4973,42.6163,-12.86,95,21,2.42,RU,1701931442
232,khandyga,62.6667,135.6,-39.59,96,100,1.16,RU,1701931443
233,quellon,-43.1167,-73.6167,6.81,92,10,1.67,CL,1701931444
234,dadukou,26.5479,101.7054,17.84,60,99,0.83,CN,1701931445
235,juan griego,11.0817,-63.9655,25.43,86,100,3.87,VE,1701931447
236,monrovia,6.3005,-10.7969,23.87,91,10,2.46,LR,1701931448
237,mogocha,53.7333,119.7667,-23.24,87,60,0.55,RU,1701931449
238,san antonio de pale,-1.4014,5.6325,25.5,87,100,5.3,GQ,1701931451
239,margate,51.3813,1.3862,6.28,87,98,4.92,GB,1701931452
240,chervyen',53.7059,28.4313,-7.83,95,100,3.93,BY,1701931453
241,haiku-pauwela,20.9219,-156.3051,24.47,74,20,4.12,US,1701931455
242,asaita,11.5636,41.4394,27.96,36,6,6.56,ET,1701931456
243,bardai,11.65,7.2333,19.48,19,69,4.63,NG,1701931457
244,paramirim,-13.4425,-42.2389,17.5,91,2,1.98,BR,1701931459
245,nurota,40.5614,65.6886,7.77,46,100,3.47,UZ,1701931460
246,tolanaro,-25.0319,46.9987,26.04,65,40,6.17,MG,1701931461
247,westport,41.1415,-73.3579,0.42,74,0,2.57,US,1701931463
248,kavaratti,10.5669,72.642,28.16,70,99,4.38,IN,1701931464
249,launceston,-41.45,147.1667,22.8,43,58,9.77,AU,1701931465
250,aykhal,66.0,111.5,-25.67,99,98,1.82,RU,1701931467
251,marsa alam,25.0757,34.8918,23.39,56,0,4.87,EG,1701931468
252,lompoc,34.6391,-120.4579,13.4,84,100,3.13,US,1701931469
253,cannonvale,-20.2833,148.7,26.66,63,10,7.96,AU,1701931471
254,awjilah,29.1081,21.2869,16.78,38,3,4.52,LY,1701931472
255,pasni,25.2631,63.471,23.47,47,0,1.47,PK,1701931473
256,ulladulla,-35.35,150.4667,25.43,72,83,2.77,AU,1701931475
257,farafangana,-22.8167,47.8333,25.39,68,100,3.4,MG,1701931476
258,ust'-ordynskiy,52.805,104.7508,-14.06,85,100,6.71,RU,1701931477
259,bubaque,11.2833,-15.8333,27.32,66,31,2.34,GW,1701931479
260,howard springs,-12.497,131.047,34.93,52,27,3.53,AU,1701931480
261,san patricio,28.017,-97.5169,18.91,85,100,2.83,US,1701931483
262,kosh-agach,50.0,88.6667,-14.83,84,100,3.58,RU,1701931484
263,greenville,35.6127,-77.3663,0.63,87,0,0.0,US,1701931485
264,port lincoln,-34.7333,135.8667,21.81,56,100,3.61,AU,1701931486
265,siloam springs,36.1881,-94.5405,9.31,62,0,4.63,US,1701931488
266,yanchep,-31.55,115.6833,27.07,58,72,9.18,AU,1701931490
267,kapuskasing,49.4169,-82.4331,-4.0,86,100,4.12,CA,1701931492
268,les cayes,18.2,-73.75,24.41,83,5,3.58,HT,1701931493
269,nizhneangarsk,55.7833,109.55,-20.55,79,37,4.47,RU,1701931495
270,xinzhi,36.4989,111.7047,15.13,21,0,2.34,CN,1701931496
271,palikir - national government center,6.9248,158.1611,27.41,89,100,2.57,FM,1701931497
272,madison,34.7334,-86.5667,2.64,88,0,1.34,US,1701931499
273,keflavik,64.0049,-22.5624,3.95,60,0,8.23,IS,1701931464
274,mejit,10.2753,170.8646,27.54,84,40,11.33,MH,1701931501
275,fale old settlement,-9.3852,-171.2468,29.31,75,100,2.94,TK,1701931502
